Sender,Subject,Time
Google,Security alert,"Sun, Mar 29, 2026, 12:31 PM"
World of Electrical.,Mastering Microsoft Excel for Engineers & Professionals,"Sun, Mar 29, 2026, 10:18 AM"
LinkedIn Job Alerts,Bdjobs.com is hiring: Deputy Project Manager (Expert in Steel Piling) (For SIMEX Bangladesh) - Job ID - 1470266,"Sun, Mar 29, 2026, 10:16 AM"
ChatGPT,Ask anything – really,"Sat, Mar 28, 2026, 8:40 PM"
LinkedIn,43 profile views,"Sat, Mar 28, 2026, 8:17 PM"
World of Electrical.,"The Instrumentation Edge: Sensors, Actuators, and the Future of Smart Systems","Sat, Mar 28, 2026, 8:08 PM"
LinkedIn,Saidur Rahman Akash and others share their thoughts on LinkedIn,"Sat, Mar 28, 2026, 8:00 PM"
LinkedIn,"Tasnimul Intazam, add Maria Misty Barsa ","Sat, Mar 28, 2026, 6:16 PM"
LinkedIn,Enerzyz is hiring a Machine Learning Engineer,"Sat, Mar 28, 2026, 12:16 PM"
LinkedIn Job Alerts,TotalFrameStudio is hiring: Operations Executive,"Sat, Mar 28, 2026, 10:16 AM"
Google,Security alert,"Sun, Mar 29, 2026, 12:31 PM"
World of Electrical.,Mastering Microsoft Excel for Engineers & Professionals,"Sun, Mar 29, 2026, 10:18 AM"
LinkedIn Job Alerts,Bdjobs.com is hiring: Deputy Project Manager (Expert in Steel Piling) (For SIMEX Bangladesh) - Job ID - 1470266,"Sun, Mar 29, 2026, 10:16 AM"
ChatGPT,Ask anything – really,"Sat, Mar 28, 2026, 8:40 PM"
LinkedIn,43 profile views,"Sat, Mar 28, 2026, 8:17 PM"
World of Electrical.,"The Instrumentation Edge: Sensors, Actuators, and the Future of Smart Systems","Sat, Mar 28, 2026, 8:08 PM"
LinkedIn,Saidur Rahman Akash and others share their thoughts on LinkedIn,"Sat, Mar 28, 2026, 8:00 PM"
LinkedIn,"Tasnimul Intazam, add Maria Misty Barsa ","Sat, Mar 28, 2026, 6:16 PM"
LinkedIn,Enerzyz is hiring a Machine Learning Engineer,"Sat, Mar 28, 2026, 12:16 PM"
LinkedIn Job Alerts,TotalFrameStudio is hiring: Operations Executive,"Sat, Mar 28, 2026, 10:16 AM"
